<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
Veränderungen in %";;;;;;;;;;
Frauen ;0;-0.503778;-0.251889;-1.007557;-0.503778;-0.251889;-0.251889;-0.757576;0.508906;0.253165
Gesundheits- und Sozialwesen ;-0.254453;-0.510204;-0.255102;-1.530612;-0.255102;-0.255102;-0.255102;-1.278772;1.295337;0
Männer ;0;-0.505051;-0.252525;-1.262626;-0.252525;-0.252525;-0.252525;-1.012658;1.023018;0
Frauen ;0;-0.769231;-0.25641;-1.794872;-0.512821;-0.512821;-0.25641;-1.542416;1.305483;0
Kunst, Unterhaltung und Erholung ;0;-9.390863;-2.284264;-16.53944;-6.075949;-13.164557;-2.531646;-14.805195;13.109756;-7.54717
Männer ;-0.252525;-8.860759;-2.278481;-15.989848;-5.808081;-11.616162;-2.525253;-14.248705;12.688822;-6.16622
Frauen ;0;-10.204082;-2.295918;-16.923077;-6.615776;-15.561224;-2.295918;-15.4047;13.271605;-9.809264
Erbringung von sonstigen Dienstleistungen ;-0.255754;-3.076923;-0.771208;-5.897436;-2.30179;-3.589744;-1.025641;-4.92228;4.087193;-1.570681
Männer ;-0.254453;-2.295918;-0.511509;-4.591837;-2.035623;-2.295918;-0.765306;-3.856041;2.941176;-0.519481
Frauen ;0;-3.865979;-1.033592;-7.216495;-2.313625;-4.896907;-1.28866;-6.005222;5.555556;-2.894737
Bruttostundenverdienste ohne Sonderzahlungen;;;;;;;;;;
Vollzeitbeschäftigte Arbeitnehmer/-innen;;;;;;;;;;
Produzierendes Gewerbe und Dienstleistungsbereich ;2.934921;2.396694;2.420701;2.932672;1.898473;2.211302;0.4914;1.548492;-0.922953;1.09356
Männer ;2.633712;2.131859;2.231076;2.684564;1.657459;1.918559;0.469851;1.363991;-0.961169;1.048137
Frauen ;3.814582;3.209302;3.207547;3.955328;2.68892;3.130755;0.736648;2.102377;-0.850492;1.128668
Produzierendes Gewerbe ;1.607717;1.384494;1.430274;1.541502;1.10979;1.375786;0.353774;0.626714;-0.700662;1.097609
Männer ;1.45155;1.198763;1.359223;1.313756;0.852713;1.114099;0.26892;0.45977;-0.762777;1.152959
Frauen ;2.268519;2.444545;1.865332;2.945174;2.44676;2.655266;0.765077;1.473872;-0.484155;0.884564
;;;;;;;;;;
Bergbau und Gewinnung von Steinen und Erden ;3.354565;-2.013147;-1.119403;-4.265594;-2.514427;0.374376;-0.790349;-0.251572;-0.588483;2.029598
Männer ;3.683319;-1.755819;-1.071281;-3.998401;-2.173022;0.536525;-0.907965;0;-0.62474;2.095557
Frauen ;-0.310009;-4.353621;-2.262644;-7.202095;-6.87993;0.278552;2.274838;-3.495234;-4.7036688617E-2;1.647059
Verarbeitendes Gewerbe ;1.700812;1.63436;1.220442;2.201974;1.447068;1.741105;0.454201;1.431801;-1.040119;0.900901
Männer ;1.56892;1.507907;1.180812;2.093279;1.253225;1.538462;0.43956;1.38585;-1.18705;0.910084
Frauen ;2.169898;2.620877;1.905626;3.21267;2.623247;2.921348;0.94382;1.558326;-0.526085;0.925518
;;;;;;;;;;
;;;;;;;;;;
1 Einschl. Abwasser- u. Abfallentsorgung, Beseitigung von Umweltverschmutzungen. – 2 Einschl. Instandhaltung und Reparatur von Kraftfahrzeugen.;;;;;;;;;;
