<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
Veränderungen in %";;;;;;;;;;
Produzierendes Gewerbe und Dienstleistungsbereich ;2.509294;1.813237;2.293578;1.900452;1.263538;1.708633;0.269784;0.986547;-0.35524;0.802139
Bruttomonatsverdienste ohne Sonderzahlungen;;;;;;;;;;
Vollzeitbeschäftigte Arbeitnehmer/-innen;;;;;;;;;;
Produzierendes Gewerbe und Dienstleistungsbereich ;2.904357;-0.705596;2.024691;-3.475936;-1.09038;-0.240906;-0.457721;-3.896418;2.795266;1.44537
Männer ;2.568371;-1.020172;1.811765;-3.913849;-1.454965;-0.505166;-0.642939;-4.113705;2.844059;1.546754
Frauen ;3.776824;0.303281;2.828339;-2.123552;0;0.572831;0.163666;-3.349673;2.648633;1.207796
Produzierendes Gewerbe ;1.511879;-2.387707;0.934579;-6.363422;-2.945335;-1.126761;-1.126761;-5.674264;3.674805;2.25783
Männer ;1.35514;-2.535731;0.888889;-6.501263;-3.122847;-1.327231;-1.304348;-5.634129;3.660934;2.204314
Frauen ;2.160494;-1.510574;1.466519;-5.357143;-1.947874;-0.163666;2.7277686852000001E-2;-6.053995;3.744557;2.406267
;;;;;;;;;;
Bergbau und Gewinnung von Steinen und Erden ;2.28517;-2.699558;-1.158392;-5.898429;-2.967084;-0.330267;-1.368247;-1.171968;1.306873;0.931677
Männer ;2.577441;-2.443522;-1.171783;-5.548038;-2.481048;-0.140023;-1.586931;-0.687693;1.361032;0.800942
Frauen ;2.6116479498999999E-2;-5.456919;-1.486698;-9.5592;-8.822016;-0.682501;3.112203;-6.566058;0.453386;2.623413
Verarbeitendes Gewerbe ;1.556691;-3.134294;0.436882;-7.876712;-3.706246;-1.345496;-0.387685;-7.623626;4.312268;2.779758
Männer ;1.456093;-3.356149;0.310697;-8.171806;-3.952307;-1.519824;-0.440529;-7.765487;4.341569;2.781609
Frauen ;2.048835;-1.89769;1.439646;-6.193229;-2.418911;-0.300711;0.164024;-6.9869;4.166667;2.732394
;;;;;;;;;;
;;;;;;;;;;
1 Einschl. Abwasser- u. Abfallentsorgung, Beseitigung von Umweltverschmutzungen. – 2 Einschl. Instandhaltung und Reparatur von Kraftfahrzeugen.;;;;;;;;;;
