<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
Veränderungen in %";;;;;;;;;;
Produzierendes Gewerbe und Dienstleistungsbereich ;2.597403;1.98915;2.472527;2.077687;1.440144;1.883408;0.358744;0.983021;-0.265487;0.79858
Bruttomonatsverdienste ohne Sonderzahlungen;;;;;;;;;;
Vollzeitbeschäftigte Arbeitnehmer/-innen;;;;;;;;;;
Produzierendes Gewerbe und Dienstleistungsbereich ;2.938144;-0.475714;2.263479;-3.227421;-0.847458;-4.9566294918999998E-2;-0.346964;-3.805024;2.843847;1.382604
Männer ;2.601227;-0.83712;1.991742;-3.703704;-1.214575;-0.355114;-0.591856;-4.024768;2.92804;1.470588
Frauen ;3.700466;0.533858;3.112507;-1.910649;0.223651;0.77821;0.361312;-3.323179;2.692638;1.143654
Produzierendes Gewerbe ;1.597205;-2.210759;1.09671;-6.124449;-2.741067;-0.999269;-1.145503;-5.522682;3.705637;2.214394
Männer ;1.432039;-2.368988;0.972053;-6.296208;-2.930665;-1.210539;-1.376691;-5.43923;3.690506;2.160039
Frauen ;2.10219;-1.315413;1.817133;-5.234554;-1.827005;0;0.198694;-6.147309;3.8032;2.442571
;;;;;;;;;;
Bergbau und Gewinnung von Steinen und Erden ;1.911296;-2.620822;-0.635386;-5.671923;-2.998321;-0.801749;-1.214772;-1.426463;0.898204;0.964392
Männer ;2.146341;-2.578797;-0.777454;-5.652885;-2.787706;-0.747348;-1.542912;-1.101861;1.015103;0.906863
Frauen ;0;-2.712477;0.82923;-5.568268;-5.053874;-0.449854;2.963747;-4.548959;-0.350027;1.648203
Verarbeitendes Gewerbe ;1.664255;-3.084223;0.596659;-7.818053;-3.629893;-1.323251;-0.401701;-7.686833;4.394757;2.806499
Männer ;1.554885;-3.290676;0.413603;-8.141391;-3.883939;-1.54827;-0.500911;-7.826087;4.443893;2.781079
Frauen ;2.048581;-1.778033;1.762496;-6.19977;-2.433438;-0.284738;0.284738;-7.211811;4.283966;2.758216
;;;;;;;;;;
;;;;;;;;;;
1 Einschl. Abwasser- u. Abfallentsorgung, Beseitigung von Umweltverschmutzungen. – 2 Einschl. Instandhaltung und Reparatur von Kraftfahrzeugen.;;;;;;;;;;
