<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
Veränderungen in %";;;;;;;;;;
Gesundheits- und Sozialwesen ;-0.253807;-0.508906;-0.254453;-1.526718;-0.254453;-0.254453;-0.254453;-1.27551;1.29199;0
Männer ;0;-0.503778;-0.251889;-1.010101;-0.251889;-0.251889;-0.251889;-1.010101;1.020408;0
Frauen ;-0.255102;-0.767263;-0.255754;-1.790281;-0.511509;-0.511509;-0.255754;-1.538462;1.302083;0
Kunst, Unterhaltung und Erholung ;0;-9.113924;-1.77665;-15.989848;-5.808081;-12.626263;-2.272727;-14.470284;12.688822;-7.238606
Männer ;0;-8.585859;-1.772152;-15.443038;-5.793451;-11.083123;-2.267003;-13.917526;11.976048;-5.614973
Frauen ;0;-9.923664;-1.785714;-16.624041;-6.091371;-14.75827;-2.035623;-15.324675;13.496933;-9.459459
Erbringung von sonstigen Dienstleistungen ;0;-3.324808;-0.769231;-5.897436;-2.046036;-3.836317;-1.023018;-5.167959;4.359673;-1.827676
Männer ;-0.253807;-2.544529;-0.510204;-4.834606;-2.030457;-2.544529;-0.763359;-4.102564;3.208556;-0.777202
Frauen ;-0.257069;-3.608247;-1.030928;-7.216495;-2.056555;-4.884319;-1.285347;-6.25;5.833333;-2.887139
Bruttostundenverdienste ohne Sonderzahlungen;;;;;;;;;;
Vollzeitbeschäftigte Arbeitnehmer/-innen;;;;;;;;;;
Produzierendes Gewerbe und Dienstleistungsbereich ;2.982456;2.512777;2.625915;3.151618;2.041684;2.363867;0.633179;1.59396;-0.949628;1.083785
Männer ;2.680067;2.202284;2.345679;2.815177;1.794454;2.021836;0.566114;1.3269;-0.952381;1.081731
Frauen ;3.745688;3.420428;3.46988;4.133017;2.792239;3.29102;0.940291;2.095948;-0.912409;1.151013
Produzierendes Gewerbe ;1.676446;1.442704;1.448675;1.648805;1.198347;1.474805;0.409668;0.611995;-0.689376;1.143324
Männer ;1.552922;1.207243;1.332795;1.368209;0.928168;1.19952;0.319872;0.398565;-0.714569;1.19952
Frauen ;2.180233;2.702703;2.192564;3.225806;2.560455;2.826189;0.989166;1.492537;-0.597426;0.924642
;;;;;;;;;;
Bergbau und Gewinnung von Steinen und Erden ;2.673566;-1.427971;-0.508906;-3.377265;-1.896334;0.339127;-0.551081;0;-0.767263;1.675258
Männer ;2.929772;-1.465048;-0.634249;-3.445447;-1.890756;0.337695;-0.802026;0.170213;-0.807137;1.798715
Frauen ;-0.260756;-0.87146;0.699301;-2.449506;-2.381984;1.068091;2.536716;-1.475694;-0.704846;0.754215
Verarbeitendes Gewerbe ;1.813054;1.66205;1.350814;2.213439;1.46709;1.732966;0.472627;1.372011;-1.044084;0.937866
Männer ;1.708738;1.450935;1.188195;2.021358;1.224646;1.482326;0.342075;1.325758;-1.121495;0.94518
Frauen ;2.129719;2.796209;2.141837;3.368121;2.606635;2.967499;1.083373;1.537745;-0.642497;0.969977
;;;;;;;;;;
;;;;;;;;;;
1 Einschl. Abwasser- u. Abfallentsorgung, Beseitigung von Umweltverschmutzungen. – 2 Einschl. Instandhaltung und Reparatur von Kraftfahrzeugen.;;;;;;;;;;
