<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
Veränderungen in %";;;;;;;;;;
Frauen ;0;-0.251256;0;-1.005025;-0.501253;-0.501253;-0.250627;-1.005025;0.761421;0
Gesundheits- und Sozialwesen ;-0.5;-0.251256;0.251256;-1.005025;-0.250627;-0.250627;0;-1.253133;1.015228;0
Männer ;-0.248139;-0.248756;0;-1.243781;-0.248139;-0.496278;-0.248139;-1.243781;1.259446;-0.248756
Frauen ;-0.502513;-0.252525;0.252525;-1.010101;-0.251889;-0.251889;0;-1.259446;1.020408;0
Kunst, Unterhaltung und Erholung ;0.251256;-7.26817;-1.256281;-13.567839;-4.738155;-10.25;-1.75;-12.468193;11.046512;-6.020942
Männer ;0.25;-6.982544;-1.25;-12.75;-4.962779;-9.476309;-1.496259;-11.64557;9.74212;-5.221932
Frauen ;0.252525;-8.060453;-1.265823;-14.861461;-4.761905;-11.557789;-2.01005;-13.333333;12.426036;-7.368421
Erbringung von sonstigen Dienstleistungen ;0;-3.299492;-0.763359;-6.852792;-1.265823;-4.050633;-1.265823;-5.897436;6.26703;-2.820513
Männer ;0;-2.525253;-0.759494;-5.050505;-1.259446;-2.777778;-1.010101;-4.081633;4.255319;-1.785714
Frauen ;-0.254453;-3.826531;-0.767263;-8.418367;-1.272265;-4.580153;-1.272265;-7.474227;8.077994;-3.350515
Bruttostundenverdienste ohne Sonderzahlungen;;;;;;;;;;
Vollzeitbeschäftigte Arbeitnehmer/-innen;;;;;;;;;;
Produzierendes Gewerbe und Dienstleistungsbereich ;2.947598;4.029692;4.144241;4.617834;3.377309;3.771608;1.36197;1.860465;-0.608828;1.123022
Männer ;2.864865;3.730951;3.891258;4.320337;3.352541;3.476907;1.141671;1.590559;-0.353535;1.064369
Frauen ;3.114572;4.422869;4.665203;5.283019;3.536977;4.271223;1.81527;2.412166;-1.075269;1.086957
Produzierendes Gewerbe ;1.866516;2.83176;2.633053;3.281424;2.666667;2.857143;0.659341;1.364629;-0.484653;1.298701
Männer ;1.933702;2.547425;2.404372;2.933188;2.441671;2.573727;0.482574;1.120598;-0.369393;1.324153
Frauen ;1.324086;3.484754;3.207547;4.042289;3.043478;3.641975;1.296296;1.95003;-0.83682;1.205546
;;;;;;;;;;
Bergbau und Gewinnung von Steinen und Erden ;0.496166;1.256732;2.40581;0.978648;0.58427;0.9839;0.894454;0.620567;-1.409692;0.893655
Männer ;0.592255;0.860507;2.108158;0.538841;0;0.767494;0.586907;0.493716;-1.384547;1.086957
Frauen ;0.210881;4.335017;5.061676;4.541667;4.963937;2.710592;3.002502;1.578947;-1.394978;-0.444624
Verarbeitendes Gewerbe ;1.461495;2.65928;2.575588;3.047091;2.439024;2.575342;0.383562;1.528384;-0.645161;1.298701
Männer ;1.513514;2.396166;2.368138;2.768903;2.238806;2.315789;0.105263;1.472135;-0.621762;1.355579
Frauen ;1.442623;2.844215;2.545692;3.428202;2.322581;3.078897;0.769724;1.782304;-0.813008;1.324086
;;;;;;;;;;
;;;;;;;;;;
1 Einschl. Abwasser- u. Abfallentsorgung, Beseitigung von Umweltverschmutzungen. – 2 Einschl. Instandhaltung und Reparatur von Kraftfahrzeugen.;;;;;;;;;;
