<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
Frauen2 ………………………………………………………………………………………………………..;-3.242589;18.272154;22.3675;21.528374;23.185442;22.991681;-0.574373;5.752024;-0.355338;-1.885047
Arbeitslosenquote insgesamt3 ....................................................................................................................................;X ;X ;X ;X ;X ;X ;X ;X ;X ;X 
Männer ;X ;X ;X ;X ;X ;X ;X ;X ;X ;X 
Frauen ;X ;X ;X ;X ;X ;X ;X ;X ;X ;X 
Jüngere unter 25 Jahren;X ;X ;X ;X ;X ;X ;X ;X ;X ;X 
Ausländer/-innen;X ;X ;X ;X ;X ;X ;X ;X ;X ;X 
Gemeldete Arbeitsstellen4 …………………………………………………………………………………………………….. ;-3.538345;-22.463661;-16.118545;-16.020959;-16.083114;-11.753219;-2.655058;-2.916484;3.057194;4.727143
;;;;;;;;;;
Neue Länder und Berlin ;;;;;;;;;;
Arbeitslose insgesamt ;-6.499901;14.122771;18.716144;17.347961;19.802865;21.049559;1.358793;7.518556;0.541752;-2.136839
darunter:;;;;;;;;;;
Jüngere unter 25 Jahren ;-2.590922;23.211489;24.901074;23.958726;25.246932;25.553364;-0.713363;5.344346;4.870932;-1.14197
Ausländer/-innen ;2.825993;26.779476;29.197103;26.501906;30.473988;31.762184;-0.42245;5.351675;1.638773;-0.19512
Männer2 ………………………………………………………………………………………………….;-5.931773;14.972706;18.857763;16.722535;19.000202;19.989556;1.878713;8.205977;0.765229;-2.568656
Frauen2 ………………………………………………………………………………………………………..;-7.229474;13.014215;18.527106;18.201311;20.906849;22.502462;0.67561;6.603819;0.240128;-1.549942
Arbeitslosenquote insgesamt3 ....................................................................................................................................;X ;X ;X ;X ;X ;X ;X ;X ;X ;X 
Männer ;X ;X ;X ;X ;X ;X ;X ;X ;X ;X 
Frauen ;X ;X ;X ;X ;X ;X ;X ;X ;X ;X 
Jüngere unter 25 Jahren;X ;X ;X ;X ;X ;X ;X ;X ;X ;X 
Ausländer/-innen;X ;X ;X ;X ;X ;X ;X ;X ;X ;X 
Gemeldete Arbeitsstellen4 …………………………………………………………………………………………………….. ;0.412866;-13.62455;-12.012647;-11.950767;-12.955926;-12.211079;-5.270789;-1.219451;2.430275;3.697858
;;;;;;;;;;
;  2018  ;  2019  ;Sep. 20 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Sep. 20 ;Okt. 20 ;Nov. 20 ;Dez. 20 
;gegenüber Vorjahr;;gegenüber Vorjahresmonat;;;;gegenüber Vormonat;;;
;;;;;;;;;;
Bauen und Wohnen;;;;;;;;;;
Baugenehmigungen;;;;;;;;;;
Wohnungen insgesamt6 .............................................................................................................;-0.30815;3.945388;0.942594;-3.630643;8.945077;-11.00229;-6.188925;3.259844;6.202866;12.29289
Wohnungen in Wohngebäuden mit7 ;;;;;;;;;;
1 Wohnung ;-1.021229;1.174231;0.740068;1.712329;17.476143;9.139637;5.235318;3.350947;2.855718;-3.722114
2 Wohnungen ;-6.401369;2.491343;34.61975;23.591923;26.818182;39.255702;10.325581;-1.939292;-4.041273;3.942652
3 und mehr Wohnungen8 ................................................................................... ;4.485395;4.63203;0.834917;-10.830477;3.031767;-17.416392;-6.129542;-0.181757;15.052603;19.126612
Wohngebäude7  ........................................................................................;-1.000336;1.347258;4.038595;3.824663;16.193903;9.560363;4.162932;3.040444;1.865083;0.10931
Rauminhalt ;0.615518;3.152926;3.456609;-2.7474414451999999E-2;9.719191;-1.886112;-1.216698;3.02966;3.620749;8.301286
Wohnfläche in Wohnungen;0.576859;3.006995;2.979224;0.259067;9.832228;-3.398983;-0.605373;3.121431;3.912883;8.028419
Veranschlagte Kosten des Bauwerks9 .........................................................;5.021469;6.768778;7.792066;6.560292;14.561885;3.02751;-3.043439;5.633215;3.709917;9.408976
Nichtwohngebäude7 ..................................................................................................;0.723508;-0.408885;2.707349;7.057367;3.043868;1.663586;3.106126;8.535565;-11.256746;-4.43093
Rauminhalt ;3.71772;-1.101717;-1.02485;22.993015;-4.102722;-21.815638;-0.860975;27.423036;-18.100398;-1.637683
Nutzfläche ;5.512384;5.6412185032000003E-2;0.90978;10.53203;-9.155682;-19.66861;6.352377;14.72577;-16.502947;2.666667
Veranschlagte Kosten des Bauwerks9 .........................................................;12.976441;9.160188;0.687775;8.086771;-5.258934;-1.551533;5.481698;21.262388;-21.95596;17.661846
Wohnräume (einschließlich Küchen)6 ...................................................... ;-0.591415;3.580456;1.662102;-0.769796;10.524648;-2.584182;-2.328224;3.96529;2.735381;9.014668
;;;;;;;;;;
Veranschlagte Kosten des Bauwerkes6, 9 insgesamt .........................................................;6.907184;8.367688;-6.5514426380000004E-2;8.007174;6.493463;1.097259;-2.070476;12.69402;-7.262573;9.806543
Wohngebäude ;4.628925;7.463611;5.160094;7.400102;14.339969;3.593785;-3.552507;6.176407;2.419563;8.682911
Nichtwohngebäude ;10.192829;9.605691;-6.65088;8.767107;-3.848655;-2.490697;0.113475;21.946803;-19.230323;11.567708
;;;;;;;;;;

"1 Quelle: Statistik der Bundesagentur für Arbeit. – 2 Fälle ""ohne  Angabe"" sind nicht enthalten. – 3 Arbeitslose in Prozent aller zivilen Erwerbspersonen (Abhängige, Selbstständige, mit- ";;;;;;;;;;
helfende Familienangehörige und Arbeitslose). – 4 Nur ungeförderte Arbeitsstellen. – 5 Einschl. der gemeldeten Arbeitsstellen mit dem Arbeitsort im Ausland. – 6 In Wohn- und Nicht- ;;;;;;;;;;
wohngebäuden (einschließlich Baumaßnahmen an bestehenden Gebäuden). – 7 Errichtung neuer Gebäude. – 8 Ohne Wohnheime. – 9 Einschließlich Umsatzsteuer.;;;;;;;;;;
