<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
Veränderungen in %";;;;;;;;;;
Vollzeitbeschäftigte Arbeitnehmer/-innen;;;;;;;;;;
Produzierendes Gewerbe und Dienstleistungsbereich ;2.952381;1.41844;4.106128;-1.234187;1.222494;1.609964;0.121507;-2.882282;3.467666;0.996377
Männer ;2.85535;1.18975;3.849765;-1.588271;1.087942;1.470588;-0.420168;-2.893309;3.817505;1.076233
Frauen ;3.0185;1.795841;4.501608;-0.567108;1.37457;1.899128;1.183064;-2.892308;2.820025;0.862866
Produzierendes Gewerbe ;1.817581;-0.357027;2.767589;-3.858625;-0.675458;0.511182;-1.533546;-3.796236;4.148398;1.878238
Männer ;1.83871;-0.411783;2.574967;-3.764631;-0.65872;0.342679;-1.962617;-3.336511;4.109139;1.705084
Frauen ;1.218162;-0.583516;3.188728;-4.963504;-1.413556;0.865489;0.36062;-6.431908;4.454685;2.830882
;;;;;;;;;;
Bergbau und Gewinnung von Steinen und Erden ;0.612843;-0.556144;2.44887;-2.123755;-1.61333;-0.922509;0.342646;-1.943788;-0.348245;1.048387
Männer ;0.697612;-0.826006;2.249932;-2.454473;-1.993091;-1.034208;2.6518164943000001E-2;-2.014846;-0.21645;1.193059
Frauen ;0.228659;1.39417;4.275474;0.350614;0.995914;0;2.749748;-1.620427;-1.297729;0.22756
Verarbeitendes Gewerbe ;1.377501;-1.844063;2.39816;-6.781311;-2.35332;-0.446713;-0.542438;-7.82804;5.429864;3.004292
Männer ;1.417769;-2.019261;2.112232;-6.886881;-2.386117;-0.734844;-0.826699;-7.749305;5.421687;2.920635
Frauen ;1.343054;-1.931087;2.615385;-7.096774;-2.971042;-0.187196;-0.112317;-8.245877;5.392157;3.333333
;;;;;;;;;;
;;;;;;;;;;
1 Einschl. Abwasser- u. Abfallentsorgung, Beseitigung von Umweltverschmutzungen. – 2 Einschl. Instandhaltung und Reparatur von Kraftfahrzeugen.;;;;;;;;;;
