<< Inhaltsverzeichnis;;;;;;;;;
Statistische Wochenberichte;;;;;;;;;
;  2017  ;  2018  ;  2019  ;  2020  ;4. Vj 19;1. Vj 20;2. Vj 20;3. Vj 20;4. Vj 20
Produzierendes Gewerbe ohne Baugewerbe ;3.925323;0.663289;-3.578292;-9.719058;-4.326396;-6.023087;-21.160799;-9.958705;-1.812631
darunter: Verarbeitendes Gewerbe ;3.47416;0.744048;-3.452733;-10.470453;-4.450819;-6.157355;-22.651198;-10.875382;-2.033701
Baugewerbe ;5.8887035038000003E-2;1.677293;3.463245;2.797203;1.363407;6.166461;2.018969;-1.777974;5.264032
Handel, Verkehr und Gastgewerbe ;2.718826;2.342188;2.093218;-6.10534;1.650794;7.6974886943000004E-2;-14.266475;-3.531732;-6.263942
Information und Kommunikation ;4.998544;7.043816;3.756477;-0.915522;2.780118;0.544627;-2.914937;-0.808956;-0.647541
Finanz- und  Versicherungsdienstleister ;4.208893;-3.632033;2.038925;-0.161469;1.925651;1.087398;-0.503931;-0.791901;-0.414225
Grundstücks- und Wohnungswesen ;-0.13922;0.32862;1.012407;-0.481478;1.461169;0.683995;-1.466944;-0.302469;-0.887749
Unternehmensdienstleister ;4.812207;2.426278;0.9293;-8.061022;0.714092;-1.621909;-13.001135;-8.849792;-9.08275
Öffentliche  Dienstleister, Erziehung, Gesundheit ;1.658698;1.410884;1.637327;-2.951858;1.549655;-0.450326;-8.284981;-3.6982248521000002E-2;-3.210198
Sonstige Dienstleister ;1.231803;1.588898;1.108691;-11.396123;0.748842;-2.252999;-19.70671;-5.823659;-18.151589
;;;;;;;;;
;;;;;;;;;
Grundsätzlich sind die Ergebnisse der letzten 3 Jahre vorläufig.;;;;;;;;;
