<< Inhaltsverzeichnis;;;;;;;;;
Statistische Wochenberichte;;;;;;;;;
;  2017  ;  2018  ;  2019  ;  2020  ;4. Vj 19;1. Vj 20;2. Vj 20;3. Vj 20;4. Vj 20
Information und Kommunikation ;101.7100000;102.2600000;106.4100000;110.5600000;113.0200000;101.6700000;113.7900000;110.1100000;117.4100000
Finanz- und  Versicherungsdienstleister ;97.8500000;101.3200000;101.4400000;102.4200000;121.7000000;94.2000000;97.3800000;94.9000000;123.0600000
Grundstücks- und Wohnungswesen ;110.9400000;116.9700000;119.8800000;123.1000000;130.4000000;117.6700000;114.8200000;124.1100000;135.2000000
Unternehmensdienstleister ;105.8100000;109.4100000;110.1900000;117.7500000;118.7000000;108.6500000;120.4500000;115.2000000;127.9200000
Öffentliche  Dienstleister, Erziehung, Gesundheit ;105.1600000;108.1200000;112.0200000;120.7600000;126.4500000;109.5800000;121.4200000;115.4600000;137.3200000
Sonstige Dienstleister ;108.0900000;110.3200000;114.3600000;129.0300000;127.8000000;118.3500000;131.5200000;114.5500000;156.3000000
;;;;;;;;;
;;;;;;;;;
1 Bruttoinlandsprodukt beziehungsweise für Bereiche Bruttowertschöpfung (preisbereinigt, Kettenindex 2010=100) je Erwerbstätigen im Inland. – 2 Arbeitnehmerentgelt je Arbeitnehmer ;;;;;;;;;
in Relation zur Arbeitsproduktivität.;;;;;;;;;

Grundsätzlich sind die Ergebnisse der letzten 3 Jahre vorläufig.;;;;;;;;;
